State_Name,District,Sub_District,Financial_Year,Month,Indicator_Code,Indicator_Name,Code,Section,Public,Private,Rural,Urban
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),M8 ,Family Planning,53,0,53,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,M8 ,Family Planning,5,0,5,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,M8 ,Family Planning,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.6,Number of IUCD Removals,M8 ,Family Planning,23,0,23,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.8,Injectable Contraceptive-Antara Program- First Dose,M8 ,Family Planning,7,0,7,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.9,Injectable Contraceptive-Antara Program- Second Dose,M8 ,Family Planning,6,0,6,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.1,Injectable Contraceptive-Antara Program- Third Dose,M8 ,Family Planning,3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,M8 ,Family Planning,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.12,Number of Combined Oral Pill cycles distributed,M8 ,Family Planning,485,0,485,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.13,Number of Condom pieces distributed,M8 ,Family Planning,2009,0,2009,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.14,Number of Centchroman (weekly) pill strips distributed,M8 ,Family Planning,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.15,Number of Emergency Contraceptive Pills (ECP) given,M8 ,Family Planning,7,0,7,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.16,Number of Pregnancy Test Kits (PTK) used,M8 ,Family Planning,227,0,227,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,8.17.1,Complications following male sterilization,M8 ,Family Planning,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.1,Child immunisation - Vitamin K (Birth Dose),M9 ,CHILD IMMUNISATION,149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.2,Child immunisation - BCG,M9 ,CHILD IMMUNISATION,152,0,152,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.3,Child immunisation - DPT1,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.4,Child immunisation - DPT2,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.5,Child immunisation - DPT3,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.6,Child immunisation - Pentavalent 1,M9 ,CHILD IMMUNISATION,187,0,187,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.7,Child immunisation - Pentavalent 2,M9 ,CHILD IMMUNISATION,171,0,171,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.8,Child immunisation - Pentavalent 3,M9 ,CHILD IMMUNISATION,172,0,172,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.9,Child immunisation - OPV 0 (Birth Dose),M9 ,CHILD IMMUNISATION,149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.10,Child immunisation - OPV1,M9 ,CHILD IMMUNISATION,187,0,187,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.11,Child immunisation - OPV2,M9 ,CHILD IMMUNISATION,171,0,171,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.12,Child immunisation - OPV3,M9 ,CHILD IMMUNISATION,172,0,172,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),M9 ,CHILD IMMUNISATION,149,0,149,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.14,Child immunisation - Hepatitis-B1,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.15,Child immunisation - Hepatitis-B2,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.16,Child immunisation - Hepatitis-B3,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.17,Child immunisation - Inactivated Injectable Polio Vaccine 1 (IPV 1),M9 ,CHILD IMMUNISATION,177,0,177,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.18,Child immunisation - Inactivated Injectable Polio Vaccine 2 (IPV 2),M9 ,CHILD IMMUNISATION,170,0,170,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.19,Child immunisation - Rotavirus 1,M9 ,CHILD IMMUNISATION,187,0,187,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.20,Child immunisation - Rotavirus 2,M9 ,CHILD IMMUNISATION,171,0,171,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.21,Child immunisation - Rotavirus 3,M9 ,CHILD IMMUNISATION,172,0,172,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.22,Child Immunisation- PCV 1,M9 ,CHILD IMMUNISATION,171,0,171,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.23,Child Immunisation- PCV 2,M9 ,CHILD IMMUNISATION,161,0,161,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1.24,Child Immunisation- PCV Booster,M9 ,CHILD IMMUNISATION,5,0,5,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)/ Measles containing vaccine(MCV) - 1st Dose,M9 ,CHILD IMMUNISATION,190,0,190,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.2.2,Child immunisation (9-11months) - Measles 1st dose,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.2.3,Child immunisation (9-11months) - JE 1st dose,M9 ,CHILD IMMUNISATION,190,0,190,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,M9 ,CHILD IMMUNISATION,99,0,99,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,M9 ,CHILD IMMUNISATION,91,0,91,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),M9 ,CHILD IMMUNISATION,191,0,191,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.4.3,Child immunisation - DPT 1st Booster,M9 ,CHILD IMMUNISATION,191,0,191,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.4.4,Child immunisation - OPV Booster,M9 ,CHILD IMMUNISATION,191,0,191,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,M9 ,CHILD IMMUNISATION,191,0,191,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.5.2,Children more than 5 years received DPT5 (2nd Booster),M9 ,CHILD IMMUNISATION,184,0,184,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.5.3,Children more than 10 years received TT10/ Td10,M9 ,CHILD IMMUNISATION,160,0,160,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.5.4,Children more than 16 years received TT16/ Td16,M9 ,CHILD IMMUNISATION,169,0,169,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.6.1,Number of cases of AEFI - Abscess,M9 ,CHILD IMMUNISATION,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.6.2,Number of cases of AEFI - Death,M9 ,CHILD IMMUNISATION,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.6.3,Number of cases of AEFI - Others,M9 ,CHILD IMMUNISATION,2,0,2,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.7.1,Immunisation sessions planned,M9 ,CHILD IMMUNISATION,96,0,96,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.7.2,Immunisation sessions held,M9 ,CHILD IMMUNISATION,96,0,96,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.7.3,Number of Immunisation sessions where ASHAs were present,M9 ,CHILD IMMUNISATION,96,0,96,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.8.1,Child immunisation - Vitamin A Dose - 1,M9 ,CHILD IMMUNISATION,188,0,188,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),M9 ,CHILD IMMUNISATION,5534,0,5534,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.1,Number of children (12-59 months) provided Albendazole,M9 ,CHILD IMMUNISATION,305,0,305,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,9.11,Number of severely underweight children provided Health Checkup (0-5 years),M9 ,CHILD IMMUNISATION,76,0,76,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.1,Childhood Diseases - Pneumonia,M10 ,Number of cases of Childhood Diseases (0-5 years),3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.2,Childhood Diseases - Asthma,M10 ,Number of cases of Childhood Diseases (0-5 years),4,0,4,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.1,Childhood Diseases - Malaria,M10 ,Number of cases of Childhood Diseases (0-5 years),14,0,14,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.11,Childhood Diseases - Diarrhoea,M10 ,Number of cases of Childhood Diseases (0-5 years),44,0,44,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.12,Childhood Diseases - Diarrhoea treated in Inpatients,M10 ,Number of cases of Childhood Diseases (0-5 years),3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.13,Children admitted with Respiratory Infections,M10 ,Number of cases of Childhood Diseases (0-5 years),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,10.14,Childhood Diseases - Severe Acute Malnutrition (SAM),M10 ,Number of cases of Childhood Diseases (0-5 years),0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,11.1.2.a,RDT conducted for Malaria,M11 ,NVBDCP,4133,0,4133,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,11.1.2.b,Malaria (RDT) - Plasmodium Vivax test positive,M11 ,NVBDCP,3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,11.1.2.c,Malaria (RDT) - Plamodium Falciparum test positive,M11 ,NVBDCP,52,0,52,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.1.a,Girls registered in AFHC,M12 ,Adolescent Health,17,0,17,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.1.b,Boys registered in AFHC,M12 ,Adolescent Health,12,0,12,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.2.a,"Out of registered, Girls received clinical services",M12 ,Adolescent Health,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.2.b,"Out of registered, Boys received clinical services",M12 ,Adolescent Health,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.3.a,"Out of registered, Girls received counselling",M12 ,Adolescent Health,17,0,17,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,12.1.3.b,"Out of registered, Boys received counselling",M12 ,Adolescent Health,12,0,12,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,13.1,Number of on-going DOTS patients registered,M13 ,"Directly Observed Treatment, Short-course (DOTS)",17,0,17,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,13.2,Number of DOTS cases completed successfully,M13 ,"Directly Observed Treatment, Short-course (DOTS)",9,0,9,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.1,Outpatient - Diabetes,M14 ,Patient Services,108,0,108,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.2,Outpatient - Hypertension,M14 ,Patient Services,153,0,153,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.3,Outpatient - Stroke (Paralysis),M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.4,Outpatient - Acute Heart Diseases,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.5,Outpatient - Mental illness,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.6,Outpatient - Epilepsy,M14 ,Patient Services,3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.7,Outpatient - Ophthalmic Related,M14 ,Patient Services,106,0,106,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.8,Outpatient - Dental,M14 ,Patient Services,83,0,83,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1.9,Outpatient - Oncology,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.2.1,Allopathic- Outpatient attendance,M14 ,Patient Services,6604,0,6604,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.2.2,Ayush - Outpatient attendance,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.3.1.a,Inpatient (Male) - Children < 18 years,M14 ,Patient Services,127,0,127,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.3.1.b,Inpatient (Male)- Adults,M14 ,Patient Services,105,0,105,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.3.2.a,Inpatient (Female) - Children < 18 years,M14 ,Patient Services,177,0,177,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.3.2.b,Inpatient (Female)- Adults,M14 ,Patient Services,218,0,218,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.3.3,Number of Left Against Medical Advice (LAMA) cases,M14 ,Patient Services,12,0,12,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.1,Inpatient - Malaria,M14 ,Patient Services,9,0,9,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.2,Inpatient - Dengue,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.3,Inpatient - Typhoid,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.4,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",M14 ,Patient Services,8,0,8,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.5,Inpatient - Tuberculosis,M14 ,Patient Services,2,0,2,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.6,Inpatient - Pyrexia of unknown origin (PUO),M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.7,Inpatient - Diarrhea with dehydration,M14 ,Patient Services,11,0,11,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.4.8,Inpatient - Hepatitis,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.5,Patients registered at Emergency Department,M14 ,Patient Services,22,0,22,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.1,"Emergency - Trauma ( accident, injury, poisoning etc)",M14 ,Patient Services,12,0,12,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.2,Emergency - Burn,M14 ,Patient Services,2,0,2,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.3,Emergency - Obstetrics complications,M14 ,Patient Services,3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.4,Emergency - Snake Bite,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.5,Emergency - Acute Caridiac Emergencies,M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.6.7,Emergency - CVA ( Cerebovascular Disease),M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.7,Number of deaths occurring at Emergency Department,M14 ,Patient Services,3,0,3,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.8.2,"Out of Operation major, Gynecology- Hysterectomy surgeries",M14 ,Patient Services,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.8.4,Operation minor (No or local anaesthesia),M14 ,Patient Services,124,0,124,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.1,In-Patient Head Count at midnight,M14 ,Patient Services,514,0,514,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,14.16,Number of Anganwadi centres/ UPHCs reported to have conducted Village Health & Nutrition Day (VHNDs)/ Urban Health & Nutrition Day (UHNDs)/ Outreach / Special Outreach,M14 ,Patient Services,282,0,282,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.1,Number of Lab Tests done,M15 ,Laboratory Testing,2715,0,2715,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.2.1,Number of Hb tests conducted,M15 ,Laboratory Testing,1170,0,1170,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.2.2,"Out of the total number of Hb tests done, Number having Hb < 7 mg",M15 ,Laboratory Testing,9,0,9,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.1.a,Male HIV - Number Tested (by finger prick test),M15 ,Laboratory Testing,11,0,11,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.2.a,Female Non ANC HIV - Number Tested (by finger prick test),M15 ,Laboratory Testing,1,0,1,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.3.a,Number of pregnant women screened for HIV (by finger prick test),M15 ,Laboratory Testing,155,0,155,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.3.b,"Out of the above, number screened positive",M15 ,Laboratory Testing,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",M15 ,Laboratory Testing,0,0,0,0
Odisha,Koraput,Bandhugaon,2021-2022,January  ,15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,M15 ,Laboratory Testing,22,0,22,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.1,Total number of pregnant women registered for ANC,M1 ,Ante Natal Care (ANC),126,0,126,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",M1 ,Ante Natal Care (ANC),121,0,121,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.1,Number of PW given TT1/ Td1,M1 ,Ante Natal Care (ANC),131,0,131,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.2,Number of PW given TT2 / Td2,M1 ,Ante Natal Care (ANC),108,0,108,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.3,Number of PW given TT Booster/ Td Booster,M1 ,Ante Natal Care (ANC),1,0,1,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.4,Number of PW provided full Course 180 Iron Folic Acid (IFA) tablets,M1 ,Ante Natal Care (ANC),141,0,141,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.5,Number of PW provided full Course 360 Calcium tablets,M1 ,Ante Natal Care (ANC),148,0,148,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.6,Number of PW given one Albendazole tablet after 1st trimester,M1 ,Ante Natal Care (ANC),137,0,137,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.7,Number of PW received 4 or more ANC check ups,M1 ,Ante Natal Care (ANC),142,0,142,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,M1 ,Ante Natal Care (ANC),0,0,0,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.3.1,New cases of PW with hypertension detected,M1 ,Ante Natal Care (ANC),2,0,2,0
Odisha,Koraput,Bhairabsingipur,2021-2022,January  ,1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",M1 ,Ante Natal Care (ANC),0,0,0,0
